지역번호,소속,선명,역이름,년,월,일,시,분,요일,역/열차,장소,세부장소,성별,나이,음주,세부내용,부상상태
서울본부,용고열소,호남선,강경역,15,1,1,1 ,30,목,새마을,화장실,화장실 문틈,여,기타/미상,,양연숙고객이 새마을1411열차 화장실 이용 중 문틈에 손가락이끼여 부상을 입은 것으로 추정됨.,경상
서울본부,용고열소,호남선,광주역,15,1,3,7 ,0,토,무궁화,객실,객실내 좌석 방열판,남,18,,객실내 좌석옆 하부에 설치된 방열판에 접촉되어 왼쪽 발목상단 부위에 화상을 입었다고 주장한 내용임,경상
서울본부,서고열소,경부선,구포역,15,1,7,3 ,10,수,무궁화,객실,7호차 29석 방열판,여,기타/미상,,고객이 방열판 아래 떨어진 핸드폰 줍는 과정에서 방열판에 화상을 입음,경상
서울본부,대곡관리역,일산선,원당역,15,1,7,16 ,20,수,역,E/S,오금방면 e/s 3호,여,57,,cctv확인결과 김애옥고객은 16:20분 출발하는 대화행 열차도착소리를 듣고 급하게 그 열차를 이용하려고 올라가다 E/S초입 핸드레일 옆 철판에 원당교회전단지를 주우려 다가 몸에 중심을 잃고 넘어져 구르는 사고가 발생.,경상
서울본부,용산관리역,경부선,용산역,15,1,7,10 ,24,수,역,E/S,"7,8번홈 e/s",남,61,,CCTV 확인 결과 10시 04분경 에스컬레이터 정지된 상태로 이후 정지된 에스컬레이터를 걸어 내려오다 균형을 잃고 넘어진 것을 확인(통제실 CCTV보관) ,경상
서울본부,서울관리역,경부선,오송역,15,1,9,18 ,40,금,역 ,E/S,서울역 승강장 e/s,남,40,,"제 313열차 승차하기 위해 7번,8번승강장에서 제313열차를 찾기위해 승강장에서 왔다갔다 하다가 제313열차의 출발을 확인하고, 제171열차 열차 승차위해 내려가는 에스컬레이터에서 역방향으로 뛰다가 에스컬레이터에서 미끄러져왼쪽 무릎부위 찰과상 발생함(부상자가 넘어진 개소 기억하지 못함",경상
서울본부,서고열소,경부선,구미역,15,1,9,17 ,13,금,새마을,이동통로,새마을 객실통로,여,80,,"천안역 여객취급을 마치고 출발할 당시 갑자기 비상제동이 체결되어, 급정차하는 과정에서 고객[문영자(80세),여,010-5883-9500]이 객실통로를 이동하던 중 앞으로 넘어졌다는 신고를 받고 확인하여보니, 고객(문영자)이 얼굴 등 타박상을 입었다고 호소",경상
서울본부,도라산관리역,경의선,일산역,15,1,10,20 ,37,토,역,E/S,"3,4 승강장 e/v 6호기",남,54,음주,피해자가 술이 너무 많이 취해 대화가 잘 되지 않았고 CCTV 확인 결과 열차에 내린 후 E/S 5호기 타고 올라와서 E/S 6호기로 바로 내려가다 상부에서부터 크게 넘어지면서 바닥으로 굴러떨어졌음.,경상
서울본부,도라산관리역,경의선,일산역,15,1,10,21 ,30,토,역,E/V,"3,4 승강장 e/v 앞",남,기타/미상,음주,피해자가 술이 취한 상태였고 다친 경위를 물어보니 열차에 내려 승강장 E/V 방향으로 이동 중 넘어졌다고 진술하였음,경상
서울본부,서고열소,경부선,서고열,15,1,10,16 ,10,토,KTX,기타,ktx열차안,남,기타/미상,,차내에서 넘어져서 부상을 입음(차후 민원),경상
